Ticker,Strategy,Total Return,Maximum Drawdown,Sharpe Ratio,Annualized Volatility,Daily VaR 95,Daily Expected Shortfall 95,Market Exposure
NVDA,Buy_and_Hold,3.8051087258534064,-0.5943406315877611,1.321748321901028,0.542342924476884,-0.05238797539246982,-0.06799779790138383,1.0
NVDA,Current_Defensive,0.5976128892760173,-0.5036091472972699,0.6253624150860202,0.3921957119957376,-0.033387002414408035,-0.05288901324766986,0.5216763005780347
NVDA,Trend_Only,1.8573504392584073,-0.5524322074281425,1.0793620666282402,0.4431511388997979,-0.03927546607920615,-0.057382632120455364,0.703757225433526
NVDA,Loose_RSI,1.4817126594258454,-0.5524322074281425,0.9809323903669553,0.42882321441090837,-0.037427394576191084,-0.0557756851737935,0.630057803468208
NVDA,Breakout_60D,0.4371665867129748,-0.15282317184067729,0.9179165320655902,0.15728737899150766,-0.006664537280528825,-0.022190307160041497,0.1416184971098266
MSFT,Buy_and_Hold,0.3789942108325044,-0.3167448319943984,0.5678243288855217,0.27047364492426385,-0.026957097596806368,-0.03836916278541266,1.0
MSFT,Current_Defensive,-0.0011501943673829507,-0.2968037207761287,0.08255771815743686,0.17028627622913606,-0.019261008933818012,-0.027997942253490324,0.4841040462427746
MSFT,Trend_Only,-0.07264279827068865,-0.2913018862774823,-0.04858067269257594,0.1907198039478913,-0.021175511129001814,-0.031157574523927752,0.6127167630057804
MSFT,Loose_RSI,-0.07693828668598157,-0.28946181394107073,-0.060499045516445034,0.18839620848336652,-0.020878639972870372,-0.030984436095689294,0.5794797687861272
MSFT,Breakout_60D,-0.06778794583875891,-0.10049198214546817,-0.3215704861861371,0.0715108055623388,-0.002787336372002602,-0.012263185141181382,0.12427745664739884
SPY,Buy_and_Hold,0.32754591740872585,-0.21610804646512582,0.6883720525464727,0.17120271305558418,-0.016464097555240993,-0.02525645980289782,1.0
SPY,Current_Defensive,0.11123185922994838,-0.17067198478298218,0.3933176005746515,0.1143019707267329,-0.011668590190311311,-0.01922361661032873,0.5101156069364162
SPY,Trend_Only,0.09379333219095565,-0.18441513652738006,0.32821223321923293,0.12231198003471597,-0.013586896995396329,-0.01986630512182844,0.684971098265896
SPY,Loose_RSI,0.16609401371419308,-0.18019059411310845,0.5275291197345814,0.11968917247879145,-0.012536498866466206,-0.01952458895962771,0.6286127167630058
SPY,Breakout_60D,0.11819809113089841,-0.030959386211904083,1.167735287787546,0.035376518461599955,-0.0016010584898670185,-0.004664901982764826,0.157514450867052
QQQ,Buy_and_Hold,0.4156009099126876,-0.29201251019945307,0.6668770302696678,0.22922054278489754,-0.02333771267751534,-0.032888931623204914,1.0
QQQ,Current_Defensive,-0.0190706407989768,-0.2859809218295415,0.01917104988513012,0.13888515437861187,-0.015305601170723649,-0.023886581909766835,0.476878612716763
QQQ,Trend_Only,0.016543015209468992,-0.270850842767293,0.11623609555177968,0.1551048012230237,-0.016941662323386543,-0.025019996516614098,0.634393063583815
QQQ,Loose_RSI,0.09740519606579823,-0.26913943082909675,0.298249576445187,0.15263708059615494,-0.016761761173347538,-0.02483965979863704,0.5852601156069365
QQQ,Breakout_60D,0.25945832569715477,-0.03426029932573116,1.5104845627946497,0.056679841559907566,-0.0005298895123911069,-0.006538698248273749,0.14450867052023122
D05_SI,Buy_and_Hold,0.5914624000067645,-0.1661271810440561,1.1489926074420038,0.1586563273814503,-0.014408141306677358,-0.019377180375828775,1.0
D05_SI,Current_Defensive,0.2333413181876891,-0.12339410663498707,0.7685943831382858,0.10709831299675956,-0.009225945910473026,-0.015322429024210726,0.45942028985507244
D05_SI,Trend_Only,0.41351492924328004,-0.1466910673944114,1.064126023011257,0.12626715704193414,-0.012958723190054732,-0.01733100888251291,0.6434782608695652
D05_SI,Loose_RSI,0.32535176656728293,-0.1466910673944113,0.9103458295200244,0.12104060688512386,-0.011791819982179907,-0.017032561854050256,0.5840579710144927
D05_SI,Breakout_60D,0.16999150575894895,-0.030516567125984717,1.105945678816718,0.05311959553970313,0.0,-0.0003682760459908522,0.12028985507246377
